0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
002	002-05-01/0020	8595700100522	JANA	Kabelka	0020	A	ks	1	 -	6008	Hnědozelená		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0021	8595700100539	JANA	Kabelka	0021	A	ks	1	 -	9010	Čistě bílá		 	 -	 -	Ucha	Kůže	0,7	12	6025	Zelená		Sedlářský nýt - šroubovací	Hanunka - tištěná, středový šev	Nikl	1064.40	1710.74
002	002-05-01/0022	8595700100546	JANA	Kabelka	0022	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	1064.40	1200.00
002	002-05-01/0023	8595700100553	JANA	Kabelka	0023	A	ks	3	 -	7035	Světle šedá		5012	Světle modrá		Ucha	Kůže	0,7	12	5010	Enziánová modrá		Sedlářský nýt - šroubovací	Kombinace průhů - šedá světle modrá, tmavě modrá - několik	Nikl	1064.40	1710.74
002	002-05-01/0024	8595700100560	JANA	Kabelka	0024	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Přední kapsa	Nikl	819.42	1462.81
002	002-05-01/0025	8595700100577	JANA	Kabelka	0025	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh splétaný/ Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Přední kapsa velká, smetanové prošití, smetanový popruh	Nikl	819.42	1462.81
002	002-05-01/0026	8595700100584	JANA	Kabelka	0026	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh splétaný/ Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Jednoduchý přední šev, smetanové prošití, smetanový popruh	Nikl	795.51	1404.96
002	002-05-01/0027	8595700100591	JANA	Kabelka	0027	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh splétaný / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Přední kapsa velká, smetanové prošití, smetanový popruh	Nikl	819.42	1462.81
002	002-05-01/0028	8595700100607	JANA	Kabelka	0028	A	ks	1	 -	6008	Hnědozelená		 	 -	 -	Popruh splétaný / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Přední kapsa velká, smetanové prošití, črný popruh	Nikl	819.42	1462.81
003	003-05-01/0001	8595700100614	SÁRA	Kabelka	0001	A	ks	2	Vodorovně	9010	Čistě bílá		6025	Zelená		Ucha	Kůže	0,7	12	6025	Zelená		Sedlářský nýt - šroubovací	Hanunka - tištěná	Průchodka kulatá - nikl	1158.86	1855.37
003	003-05-01/0002	8595700100621	SÁRA	Kabelka	0002	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	9005	Černá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0003	8595700100638	SÁRA	Kabelka	0003	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	3028	Červená		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0004	8595700100645	SÁRA	Kabelka	0004	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	2011	Medová		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
